,Name,Count
281,Daedalic Entertainment,3
282,Valve Software,3
283,10TACLE Studios,3
284,Asmik Ace Entertainment,3
285,Red Storm Entertainment,3
286,Licensed 4U,3
287,Micro Cabin,3
288,Insomniac Games,3
289,ASC Games,3
290,Accolade,3
291,7G//AMES,3
292,Myelin Media,3
293,Minato Station,3
294,Slightly Mad Studios,3
295,Xicat Interactive,3
296,O3 Entertainment,3
297,GN Software,3
298,Tivola,3
299,Yuke's,3
300,Data Design Interactive,3
301,Indie Games,3
302,Aruze Corp,3
303,NovaLogic,3
304,P2 Games,3
305,Jester Interactive,3
306,Hect,3
307,Jack of All Games,3
308,Mad Catz,3
309,Angel Studios,3
310,Media Rings,3
311,NEC,3
312,Tigervision,3
313,Vir2L Studios,3
314,Agatsuma Entertainment,3
315,Essential Games,3
316,Jorudan,3
317,Sony Computer Entertainment America,3
318,Rebellion Developments,3
319,NCS,3
320,Mud Duck Productions,3
321,Revolution Software,2
322,Athena,2
323,Edia,2
324,Liquid Games,2
325,Media Factory,2
326,G.Rev,2
327,Nitroplus,2
328,Harmonix Music Systems,2
329,Sold Out,2
330,Flight-Plan,2
331,Rebellion,2
332,Sweets,2
333,Vic Tokai,2
334,Devolver Digital,2
335,responDESIGN,2
336,Introversion Software,2
337,imageepoch Inc.,2
338,Groove Games,2
339,Pack-In-Video,2
340,Red Orb,2
341,Flashpoint Games,2
342,Cloud Imperium Games Corporation,2
343,Elf,2
344,Sonnet,2
345,Virtual Play Games,2
346,Zenrin,2
347,BPS,2
348,Arena Entertainment,2
349,Office Create,2
350,Dusenberry Martin Racing,2
351,Misawa,2
352,MLB.com,2
353,Gearbox Software,2
354,Electronic Arts Victor,2
355,Big Fish Games,2
356,Mamba Games,2
357,Coconuts Japan,2
358,Magix,2
359,Data Age,2
360,Lexicon Entertainment,2
361,Hamster Corporation,2
362,Crimson Cow,2
363,Asmik Corp,2
364,Alawar Entertainment,2
365,Moss,2
366,Gainax Network Systems,2
367,Dorart,2
368,Nippon Telenet,2
369,Yamasa Entertainment,2
370,Alvion,2
371,Game Life,2
372,Datam Polystar,2
373,Core Design Ltd.,2
374,HuneX,2
375,Easy Interactive,2
376,Performance Designed Products,2
377,Data East,2
378,CTO SpA,2
379,Square Enix ,2
380,Views,2
381,Funcom,2
382,Blue Byte,2
383,Tripwire Interactive,2
384,NetRevo,2
385,CCP,2
386,HMH Interactive,2
387,Syscom,2
388,Stainless Games,2
389,System 3,2
390,Gamebridge,2
391,Gakken,2
392,Vatical Entertainment,2
393,Fuji,1
394,Epic Games,1
395,Saurus,1
396,UIG Entertainment,1
397,New World Computing,1
398,Ongakukan,1
399,Commseed,1
400,Masque Publishing,1
401,Her Interactive,1
402,Visco,1
403,Technos Japan Corporation,1
404,Karin Entertainment,1
405,Games Workshop,1
406,Quintet,1
407,Berkeley,1
408,Kando Games,1
409,Extreme Entertainment Group,1
410,Imageworks,1
411,Interchannel-Holon,1
412,Ivolgamus,1
413,Codemasters Online,1
414,Phoenix Games,1
415,Ascaron Entertainment,1
416,Marvelous Games,1
417,Takuyo,1
418,Maximum Family Games,1
419,2D Boy,1
420,Mirai Shounen,1
421,Fields,1
422,Kids Station,1
423,fonfun,1
424,"Interworks Unlimited, Inc.",1
425,Headup Games,1
426,Graphsim Entertainment,1
427,King Records,1
428,Mycom,1
429,id Software,1
430,Nexon,1
431,BushiRoad,1
432,GOA,1
433,Genterprise,1
434,Number None,1
435,Tryfirst,1
436,Media Entertainment,1
437,Michaelsoft,1
438,Lighthouse Interactive,1
439,RED Entertainment,1
440,Strategy First,1
441,Warashi,1
442,Sunflowers,1
443,Giga,1
444,Just Flight,1
445,Inti Creates,1
446,Kamui,1
447,Otomate,1
448,ASK,1
449,Paon Corporation,1
450,Paradox Development,1
451,Cygames,1
452,Plenty,1
453,49Games,1
454,Piacci,1
455,Naxat Soft,1
456,Revolution (Japan),1
457,KSS,1
458,Giza10,1
459,Palcom,1
460,EON Digital Entertainment,1
461,Boost On,1
462,Gaga,1
463,Kokopeli Digital Studios,1
464,New,1
465,Societa,1
466,Quelle,1
467,Illusion Softworks,1
468,Quest,1
469,Aques,1
470,White Park Bay Software,1
471,Game Arts,1
472,EA Games,1
473,Men-A-Vision,1
474,General Entertainment,1
475,Imadio,1
476,Square EA,1
477,Sony Music Entertainment,1
478,Mystique,1
479,SCS Software,1
480,Legacy Interactive,1
481,Havas Interactive,1
482,"mixi, Inc",1
483,DreamWorks Interactive,1
484,TalonSoft,1
485,Crytek,1
486,FunSoft,1
487,SPS,1
488,T&E Soft,1
489,NDA Productions,1
490,Gameloft,1
491,Simon & Schuster Interactive,1
492,PopTop Software,1
493,Panther Software,1
494,Adeline Software,1
495,Universal Gamex,1
496,Wizard Video Games,1
497,Starpath Corp.,1
498,989 Sports,1
499,CokeM Interactive,1
500,CBS Electronics,1
501,Wargaming.net,1
502,Playmates,1
503,Magical Company,1
504,Nichibutsu,1
505,TYO,1
506,Pacific Century Cyber Works,1
507,Axela,1
508,Tetris Online,1
509,Activision Blizzard,1
510,Ultravision,1
511,Xing Entertainment,1
512,American Softworks,1
513,Pack In Soft,1
514,Detn8 Games,1
515,Bomb,1
516,Answer Software,1
517,Sears,1
518,On Demand,1
519,CPG Products,1
520,Merscom LLC,1
521,SSI,1
522,TOHO,1
523,PM Studios,1
524,Bohemia Interactive,1
525,Fortyfive,1
526,iWin,1
527,Ecole,1
528,Yumedia,1
529,HAL Laboratory,1
530,Grand Prix Games,1
531,DigiCube,1
532,WayForward Technologies,1
533,Marvel Entertainment,1
534,Ertain,1
535,UEP Systems,1
536,Phantagram,1
537,The Learning Company,1
538,TechnoSoft,1
539,Vap,1
540,Navarre Corp,1
541,Pow,1
542,MediaQuest,1
543,Team17 Software,1
544,Max Five,1
545,Pony Canyon,1
546,Riverhillsoft,1
547,Summitsoft,1
548,Playmore,1
549,Kool Kizz,1
550,Monte Christo Multimedia,1
551,Imax,1
552,Altron,1
553,inXile Entertainment,1
554,Aria,1
555,Black Label Games,1
556,GameTek,1
557,Westwood Studios,1
558,Type-Moon,1
559,Enjoy Gaming ltd.,1
560,Interplay Productions,1
561,Image Epoch,1
562,Phantom EFX,1
563,Griffin International,1
564,Culture Publishers,1
565,Hearty Robin,1
566,Nippon Amuse,1
567,Origin Systems,1
568,Seventh Chord,1
569,Abylight,1
570,Mitsui,1
571,Milestone,1
572,Glams,1
573,Hello Games,1
574,Locus,1
575,Warp,1
576,Valve,1
577,ITT Family Games,1
578,Elite,1
579,Evolution Games,1
580,Red Flagship,1
